charging_session_id,event_time,charge_start_time,charge_end_time,journey_id,user_id,selected_site_id,city,site_category,vehicle_soc_start_pct,target_soc_pct,battery_capacity_kwh,charger_connector,charger_power_kw,is_fast_charger,energy_required_kwh,energy_delivered_kwh,expected_charge_duration_min,actual_charge_duration_min,delay_ratio,availability_ratio_at_start,estimated_wait_at_start_min,operating_condition,operational_anomaly,severe_delay,day_part,is_weekend
CHG_A4DBF6D95C,2026-08-03 05:31:09,2026-08-03 05:31:09,2026-08-03 05:50:00,JNY_223053343,USR_29803,STN_DEL_02,Delhi,OFFICE,26.7,80.0,67.1,CCS2,120.0,True,35.76,34.34,19.87,18.86,0.949,0.75,0.0,NORMAL,False,False,NIGHT,False
CHG_2696A0CBF0,2026-08-03 05:55:27,2026-08-03 05:55:27,2026-08-03 06:18:27,JNY_488951666,USR_20825,STN_JPR_02,Jaipur,HIGHWAY,41.8,85.0,69.5,CCS2,90.0,True,30.02,28.17,23.35,23.0,0.985,0.8,0.0,NORMAL,False,False,NIGHT,False
CHG_519FF07D4A,2026-08-03 05:57:52,2026-08-03 05:57:52,2026-08-03 06:40:53,JNY_635410729,USR_85945,STN_MUM_01,Mumbai,MALL,24.9,90.0,76.5,CCS2,90.0,True,49.8,48.36,40.58,43.02,1.06,1.0,0.0,NORMAL,False,False,NIGHT,False
CHG_7ACD9EEF48,2026-08-03 06:19:52,2026-08-03 06:19:52,2026-08-03 06:36:37,JNY_672176637,USR_89322,STN_GGN_01,Gurugram,OFFICE,36.1,80.0,70.5,CCS2,120.0,True,30.95,29.82,17.19,16.77,0.975,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_04D825C8DA,2026-08-03 06:23:47,2026-08-03 06:23:47,2026-08-03 07:05:44,JNY_771074125,USR_16239,STN_GGN_01,Gurugram,OFFICE,24.0,90.0,76.1,CCS2,90.0,True,50.23,48.04,40.92,41.95,1.025,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_20A562A392,2026-08-03 06:24:52,2026-08-03 06:24:52,2026-08-03 06:58:38,JNY_835503505,USR_79332,STN_GGN_01,Gurugram,OFFICE,19.1,80.0,77.2,CCS2,90.0,True,47.01,44.3,34.83,33.78,0.97,1.0,2.0,NORMAL,False,False,MORNING,False
CHG_36CE9BEAED,2026-08-03 06:34:39,2026-08-03 06:34:39,2026-08-03 07:09:06,JNY_974738855,USR_82128,STN_MUM_02,Mumbai,RESIDENTIAL,28.1,85.0,64.3,CCS2,120.0,True,36.59,34.57,21.34,34.46,1.614,0.5,0.0,POWER_LIMITATION,True,True,MORNING,False
CHG_A93C27010D,2026-08-03 06:50:45,2026-08-03 06:50:45,2026-08-03 07:07:58,JNY_643407789,USR_10454,STN_DEL_02,Delhi,OFFICE,38.7,85.0,79.3,CCS2,150.0,True,36.72,35.39,17.13,17.22,1.005,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_02E0AE1D05,2026-08-03 07:00:05,2026-08-03 07:00:05,2026-08-03 09:37:53,JNY_548256623,USR_84594,STN_GGN_01,Gurugram,OFFICE,15.5,85.0,75.5,TYPE2_AC,22.0,False,52.47,49.56,166.96,157.82,0.945,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_F5CA8E9D92,2026-08-03 07:03:01,2026-08-03 07:03:01,2026-08-03 07:28:06,JNY_841232637,USR_63886,STN_MUM_02,Mumbai,RESIDENTIAL,22.7,80.0,83.9,CCS2,120.0,True,48.07,45.79,26.71,25.09,0.939,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_38C17B6AAA,2026-08-03 07:04:09,2026-08-03 07:04:09,2026-08-03 07:33:58,JNY_614310449,USR_68996,STN_BLR_01,Bengaluru,OFFICE,25.2,85.0,87.5,CCS2,120.0,True,52.33,50.96,30.52,29.82,0.977,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_857DFDF60A,2026-08-03 07:06:14,2026-08-03 07:06:14,2026-08-03 07:49:42,JNY_966348374,USR_55273,STN_DEL_03,Delhi,HIGHWAY,38.6,80.0,67.6,CHAdeMO,50.0,True,27.99,26.33,37.32,43.48,1.165,0.6,0.0,MINOR_SLOWDOWN,True,False,MORNING,False
CHG_8CEC13D6AF,2026-08-03 07:06:36,2026-08-03 07:06:36,2026-08-03 07:51:26,JNY_734644770,USR_93904,STN_JPR_01,Jaipur,MALL,37.0,90.0,81.7,CHAdeMO,75.0,True,43.3,41.3,42.34,44.84,1.059,0.8,0.0,NORMAL,False,False,MORNING,False
CHG_BB79F09293,2026-08-03 07:08:31,2026-08-03 07:08:31,2026-08-03 07:31:15,JNY_607391292,USR_48376,STN_DEL_03,Delhi,HIGHWAY,23.5,85.0,84.1,CCS2,150.0,True,51.72,50.99,24.14,22.74,0.942,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_DAB61C8EC9,2026-08-03 07:14:44,2026-08-03 07:14:44,2026-08-03 07:45:18,JNY_841691601,USR_47266,STN_DEL_02,Delhi,OFFICE,27.4,85.0,64.4,CCS2,90.0,True,37.09,35.39,28.85,30.58,1.06,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_5926ADFDF3,2026-08-03 07:18:15,2026-08-03 07:18:15,2026-08-03 07:48:06,JNY_439929401,USR_62691,STN_GGN_02,Gurugram,MALL,40.6,80.0,72.4,CCS2,60.0,True,28.53,27.36,31.7,29.85,0.942,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_78831CC32B,2026-08-03 07:20:12,2026-08-03 07:20:12,2026-08-03 08:49:08,JNY_593208422,USR_14503,STN_MUM_02,Mumbai,RESIDENTIAL,31.4,80.0,64.0,TYPE2_AC,22.0,False,31.1,29.63,94.25,88.94,0.944,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_9CE61F34DA,2026-08-03 07:31:39,2026-08-03 07:31:39,2026-08-03 10:53:00,JNY_614328662,USR_83380,STN_DEL_01,Delhi,MALL,45.1,85.0,81.7,TYPE2_AC,11.0,False,32.6,31.41,207.44,201.37,0.971,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_4139F2F3C2,2026-08-03 07:32:31,2026-08-03 07:32:31,2026-08-03 07:58:53,JNY_129898833,USR_66203,STN_GGN_01,Gurugram,OFFICE,12.9,80.0,81.3,CCS2,150.0,True,54.55,52.14,24.25,26.38,1.088,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_655894B861,2026-08-03 07:36:06,2026-08-03 07:36:06,2026-08-03 07:54:40,JNY_837567246,USR_66358,STN_JPR_02,Jaipur,HIGHWAY,39.5,80.0,85.8,CCS2,120.0,True,34.75,33.27,19.31,18.57,0.962,0.8,0.0,NORMAL,False,False,MORNING,False
CHG_E5BFF22F8F,2026-08-03 07:41:45,2026-08-03 07:41:45,2026-08-03 10:41:58,JNY_818910274,USR_80889,STN_DEL_02,Delhi,OFFICE,17.2,85.0,83.4,TYPE2_AC,22.0,False,56.55,56.09,179.92,180.22,1.002,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_2115412CB2,2026-08-03 07:56:25,2026-08-03 07:56:25,2026-08-03 08:54:53,JNY_101330618,USR_31645,STN_DEL_02,Delhi,OFFICE,12.1,90.0,64.9,CCS2,60.0,True,50.56,49.85,61.79,58.47,0.946,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_DC2A91EE6C,2026-08-03 08:01:56,2026-08-03 08:01:56,2026-08-03 08:33:37,JNY_164809524,USR_99579,STN_DEL_01,Delhi,MALL,37.1,90.0,64.4,CCS2,90.0,True,34.07,32.58,27.76,31.69,1.141,0.2,5.0,NORMAL,False,False,MORNING,False
CHG_57C44D7C76,2026-08-03 08:02:14,2026-08-03 08:02:14,2026-08-03 08:30:32,JNY_826294049,USR_66458,STN_GGN_01,Gurugram,OFFICE,38.9,80.0,78.2,CHAdeMO,75.0,True,32.14,31.02,28.57,28.31,0.991,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_0AF6E452E2,2026-08-03 08:03:33,2026-08-03 08:03:33,2026-08-03 08:49:31,JNY_111620611,USR_71580,STN_BLR_01,Bengaluru,OFFICE,17.8,90.0,81.0,CCS2,90.0,True,58.48,57.52,47.65,45.98,0.965,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_82C2BC4141,2026-08-03 08:08:28,2026-08-03 08:08:28,2026-08-03 08:44:31,JNY_341561154,USR_29691,STN_DEL_02,Delhi,OFFICE,50.5,85.0,77.6,CCS2,60.0,True,26.77,25.89,31.23,36.07,1.155,0.5,11.0,NORMAL,False,False,MORNING,False
CHG_7AB4FB75C9,2026-08-03 08:10:28,2026-08-03 08:10:28,2026-08-03 08:46:41,JNY_641012724,USR_94665,STN_BLR_01,Bengaluru,OFFICE,32.6,90.0,83.1,CHAdeMO,100.0,True,47.7,45.58,34.98,36.23,1.036,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_75495783F1,2026-08-03 08:12:52,2026-08-03 08:12:52,2026-08-03 09:00:52,JNY_794820318,USR_45563,STN_DEL_02,Delhi,OFFICE,29.3,85.0,89.2,CHAdeMO,75.0,True,49.68,47.92,46.37,48.0,1.035,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_CD61BA94A3,2026-08-03 08:13:00,2026-08-03 08:13:00,2026-08-03 08:34:30,JNY_554041804,USR_95380,STN_DEL_02,Delhi,OFFICE,57.3,85.0,79.7,CHAdeMO,75.0,True,22.08,21.17,20.61,21.52,1.044,0.75,4.0,NORMAL,False,False,MORNING,False
CHG_D84C6BA685,2026-08-03 08:14:59,2026-08-03 08:14:59,2026-08-03 14:14:59,JNY_788713879,USR_89718,STN_GGN_02,Gurugram,MALL,29.3,90.0,84.0,TYPE2_AC,11.0,False,50.99,50.28,339.92,360.0,1.059,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_1C45C1B284,2026-08-03 08:15:43,2026-08-03 08:15:43,2026-08-03 10:59:49,JNY_697335669,USR_28918,STN_DEL_02,Delhi,OFFICE,43.0,85.0,64.2,TYPE2_AC,11.0,False,26.96,26.2,171.59,164.11,0.956,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_5A3A842893,2026-08-03 08:23:03,2026-08-03 08:23:03,2026-08-03 08:53:14,JNY_795216253,USR_44225,STN_JPR_02,Jaipur,HIGHWAY,32.9,85.0,80.1,CCS2,120.0,True,41.73,40.02,24.34,30.2,1.24,0.8,0.0,MINOR_SLOWDOWN,True,False,MORNING,False
CHG_A037D6D110,2026-08-03 08:23:46,2026-08-03 08:23:46,2026-08-03 09:03:35,JNY_745223533,USR_56140,STN_DEL_01,Delhi,MALL,26.3,85.0,71.7,CHAdeMO,75.0,True,42.09,39.64,39.28,39.83,1.014,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_8E753B23C9,2026-08-03 08:24:08,2026-08-03 08:24:08,2026-08-03 08:52:07,JNY_457477665,USR_41610,STN_JPR_01,Jaipur,MALL,26.0,85.0,67.6,CCS2,120.0,True,39.88,38.54,23.27,27.99,1.203,0.4,5.0,NORMAL,False,False,MORNING,False
CHG_C514DE3F8D,2026-08-03 08:40:32,2026-08-03 08:40:32,2026-08-03 09:31:14,JNY_768231975,USR_99188,STN_BLR_01,Bengaluru,OFFICE,41.8,90.0,71.8,CCS2,60.0,True,34.61,33.66,42.3,50.7,1.199,0.75,0.0,MINOR_SLOWDOWN,True,False,MORNING,False
CHG_7D35670951,2026-08-03 08:55:07,2026-08-03 08:55:07,2026-08-03 11:08:33,JNY_998453243,USR_90679,STN_DEL_03,Delhi,HIGHWAY,31.8,80.0,76.4,TYPE2_AC,22.0,False,36.82,35.27,111.59,133.44,1.196,0.2,5.0,NORMAL,False,False,MORNING,False
CHG_42340D0A3E,2026-08-03 08:55:38,2026-08-03 08:55:38,2026-08-03 09:38:50,JNY_158825988,USR_26361,STN_GGN_02,Gurugram,MALL,32.2,90.0,90.0,CCS2,90.0,True,52.02,49.3,42.39,43.21,1.02,0.8,0.0,NORMAL,False,False,MORNING,False
CHG_32DF8ACE44,2026-08-03 08:58:28,2026-08-03 08:58:28,2026-08-03 09:51:25,JNY_603343382,USR_42712,STN_DEL_03,Delhi,HIGHWAY,16.0,85.0,60.0,CHAdeMO,75.0,True,41.4,41.19,38.64,52.96,1.371,0.2,18.0,NORMAL,False,False,MORNING,False
CHG_6D65603E6C,2026-08-03 09:01:28,2026-08-03 09:01:28,2026-08-03 10:12:48,JNY_850511997,USR_59341,STN_GGN_02,Gurugram,MALL,14.5,85.0,64.9,CCS2,60.0,True,45.75,43.07,53.38,71.34,1.336,0.2,7.0,NORMAL,False,False,MORNING,False
CHG_F6A677C983,2026-08-03 09:03:00,2026-08-03 09:03:00,2026-08-03 09:29:38,JNY_204342260,USR_75999,STN_GGN_01,Gurugram,OFFICE,45.3,80.0,74.8,CHAdeMO,75.0,True,25.96,24.94,23.07,26.63,1.154,0.5,0.0,NORMAL,False,False,MORNING,False
CHG_B877C23A12,2026-08-03 09:10:37,2026-08-03 09:10:37,2026-08-03 09:58:39,JNY_402228803,USR_37670,STN_MUM_01,Mumbai,MALL,16.3,80.0,78.3,CHAdeMO,75.0,True,49.88,48.05,44.34,48.04,1.084,0.2,2.0,NORMAL,False,False,MORNING,False
CHG_49B0B2B626,2026-08-03 09:10:52,2026-08-03 09:10:52,2026-08-03 15:10:52,JNY_219569636,USR_19458,STN_GGN_02,Gurugram,MALL,25.4,80.0,88.4,TYPE2_AC,7.2,False,48.27,46.14,446.91,360.0,0.806,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_5D70B916E4,2026-08-03 09:16:11,2026-08-03 09:16:11,2026-08-03 15:16:11,JNY_116080707,USR_47056,STN_GGN_01,Gurugram,OFFICE,16.5,85.0,90.0,TYPE2_AC,11.0,False,61.65,59.88,392.32,360.0,0.918,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_C28894011B,2026-08-03 09:17:55,2026-08-03 09:17:55,2026-08-03 09:51:08,JNY_307819740,USR_73244,STN_BLR_01,Bengaluru,OFFICE,52.8,85.0,78.2,CHAdeMO,50.0,True,25.18,24.14,35.25,33.23,0.942,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_67EB0B9B12,2026-08-03 09:21:06,2026-08-03 09:21:06,2026-08-03 12:15:47,JNY_876926435,USR_83440,STN_MUM_02,Mumbai,RESIDENTIAL,25.9,90.0,84.4,TYPE2_AC,22.0,False,54.1,52.59,180.33,174.7,0.969,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_E94E612D6A,2026-08-03 09:28:22,2026-08-03 09:28:22,2026-08-03 15:28:22,JNY_475409139,USR_76578,STN_BLR_01,Bengaluru,OFFICE,15.4,80.0,67.7,TYPE2_AC,7.2,False,43.73,42.59,404.95,360.0,0.889,0.5,3.0,NORMAL,False,False,MORNING,False
CHG_555EEB51AB,2026-08-03 09:32:17,2026-08-03 09:32:17,2026-08-03 10:00:08,JNY_508751432,USR_20029,STN_DEL_03,Delhi,HIGHWAY,32.7,95.0,67.3,CCS2,120.0,True,41.93,40.48,26.79,27.86,1.04,0.6,1.0,NORMAL,False,False,MORNING,False
CHG_1FD16CB58D,2026-08-03 09:34:39,2026-08-03 09:34:39,2026-08-03 09:59:55,JNY_377353473,USR_66905,STN_JPR_01,Jaipur,MALL,32.2,85.0,69.3,CCS2,120.0,True,36.59,35.05,21.34,25.27,1.184,0.2,7.0,NORMAL,False,False,MORNING,False
CHG_98E324A714,2026-08-03 09:35:04,2026-08-03 09:35:04,2026-08-03 10:05:39,JNY_141692782,USR_49619,STN_JPR_01,Jaipur,MALL,29.3,80.0,81.7,CCS2,90.0,True,41.42,39.97,30.68,30.59,0.997,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_66A1A5D1A9,2026-08-03 09:38:15,2026-08-03 09:38:15,2026-08-03 10:19:08,JNY_382925462,USR_64780,STN_GGN_01,Gurugram,OFFICE,18.2,85.0,82.0,CCS2,120.0,True,54.78,52.34,31.95,40.89,1.28,0.25,14.0,NORMAL,False,False,MORNING,False
CHG_26351F9E5C,2026-08-03 09:47:03,2026-08-03 09:47:03,2026-08-03 10:26:21,JNY_777934555,USR_38692,STN_JPR_02,Jaipur,HIGHWAY,18.5,85.0,84.4,CCS2,120.0,True,56.13,54.4,32.74,39.31,1.201,0.2,2.0,NORMAL,False,False,MORNING,False
CHG_5513A710D1,2026-08-03 09:51:29,2026-08-03 09:51:29,2026-08-03 10:33:05,JNY_208492503,USR_77060,STN_GGN_02,Gurugram,MALL,29.4,85.0,82.9,CCS2,90.0,True,46.09,44.31,35.85,41.6,1.16,0.4,3.0,NORMAL,False,False,MORNING,False
CHG_484C8E43FE,2026-08-03 09:52:58,2026-08-03 09:52:58,2026-08-03 10:23:20,JNY_896203925,USR_66072,STN_DEL_03,Delhi,HIGHWAY,40.9,85.0,80.9,CCS2,90.0,True,35.68,34.58,27.75,30.38,1.095,0.4,2.0,NORMAL,False,False,MORNING,False
CHG_9034AF07C6,2026-08-03 09:54:53,2026-08-03 09:54:53,2026-08-03 10:39:07,JNY_218209483,USR_49177,STN_GGN_02,Gurugram,MALL,47.9,80.0,90.0,CHAdeMO,50.0,True,28.89,26.94,38.52,44.24,1.148,0.2,3.0,NORMAL,False,False,MORNING,False
CHG_E03F4A0AF2,2026-08-03 10:00:01,2026-08-03 10:00:01,2026-08-03 10:42:00,JNY_684243151,USR_33369,STN_DEL_01,Delhi,MALL,24.5,90.0,79.6,CCS2,90.0,True,52.14,47.73,42.48,42.0,0.989,1.0,3.0,NORMAL,False,False,MORNING,False
CHG_F1ADF640A2,2026-08-03 10:00:26,2026-08-03 10:00:26,2026-08-03 10:27:59,JNY_286245564,USR_11629,STN_GGN_02,Gurugram,MALL,53.2,90.0,73.7,CHAdeMO,75.0,True,27.12,26.08,26.52,27.56,1.039,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_07B7690D80,2026-08-03 10:01:01,2026-08-03 10:01:01,2026-08-03 10:38:47,JNY_318310927,USR_34680,STN_BLR_01,Bengaluru,OFFICE,37.1,85.0,76.1,CCS2,90.0,True,36.45,34.46,28.35,37.77,1.332,0.25,5.0,NORMAL,False,False,MORNING,False
CHG_FCAAE891EC,2026-08-03 10:07:30,2026-08-03 10:07:30,2026-08-03 10:46:54,JNY_125395465,USR_34699,STN_JPR_01,Jaipur,MALL,35.5,80.0,75.4,CCS2,90.0,True,33.55,32.34,24.85,39.4,1.585,0.2,10.0,MINOR_SLOWDOWN,True,True,MORNING,False
CHG_D1A108482D,2026-08-03 10:08:12,2026-08-03 10:08:12,2026-08-03 10:28:52,JNY_232144883,USR_18812,STN_JPR_01,Jaipur,MALL,51.7,80.0,77.2,CHAdeMO,100.0,True,21.85,21.18,14.57,20.67,1.419,0.2,7.0,MINOR_SLOWDOWN,True,False,MORNING,False
CHG_F7A5E0F47A,2026-08-03 10:08:23,2026-08-03 10:08:23,2026-08-03 10:35:01,JNY_470883917,USR_25723,STN_JPR_01,Jaipur,MALL,33.9,85.0,64.8,CCS2,90.0,True,33.11,31.7,25.75,26.65,1.035,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_5DD521039F,2026-08-03 10:08:38,2026-08-03 10:08:38,2026-08-03 10:39:21,JNY_954814998,USR_75911,STN_DEL_03,Delhi,HIGHWAY,20.3,80.0,82.3,CCS2,120.0,True,49.13,47.58,27.3,30.72,1.126,0.8,3.0,NORMAL,False,False,MORNING,False
CHG_F9C3043150,2026-08-03 10:15:18,2026-08-03 10:15:18,2026-08-03 10:42:37,JNY_738821935,USR_83306,STN_DEL_03,Delhi,HIGHWAY,54.3,85.0,82.9,CHAdeMO,75.0,True,25.45,24.09,23.75,27.33,1.151,0.4,7.0,NORMAL,False,False,MORNING,False
CHG_F997A92CAA,2026-08-03 10:17:11,2026-08-03 10:17:11,2026-08-03 15:01:58,JNY_519020054,USR_82267,STN_GGN_02,Gurugram,MALL,29.8,85.0,87.7,TYPE2_AC,11.0,False,48.41,46.0,308.07,284.8,0.924,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_7BD999A007,2026-08-03 10:22:10,2026-08-03 10:22:10,2026-08-03 16:22:10,JNY_367679439,USR_45776,STN_GGN_01,Gurugram,OFFICE,29.9,85.0,78.0,TYPE2_AC,11.0,False,42.98,40.32,273.5,360.0,1.316,0.25,10.0,NORMAL,False,False,MORNING,False
CHG_93F9AEFC35,2026-08-03 10:34:32,2026-08-03 10:34:32,2026-08-03 13:45:32,JNY_239978806,USR_42317,STN_MUM_02,Mumbai,RESIDENTIAL,16.5,90.0,73.5,TYPE2_AC,22.0,False,54.02,50.99,180.08,191.02,1.061,0.75,0.0,NORMAL,False,False,MORNING,False
CHG_A0DF3C4329,2026-08-03 10:36:17,2026-08-03 10:36:17,2026-08-03 10:51:53,JNY_675435316,USR_61476,STN_DEL_01,Delhi,MALL,59.2,85.0,90.0,CCS2,120.0,True,23.22,22.38,13.54,15.6,1.152,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_10C76DDBDC,2026-08-03 10:42:53,2026-08-03 10:42:53,2026-08-03 11:01:12,JNY_334413027,USR_53355,STN_BLR_01,Bengaluru,OFFICE,26.7,80.0,58.7,CCS2,120.0,True,31.29,29.2,17.38,18.32,1.054,0.5,0.0,NORMAL,False,False,MORNING,False
CHG_34329D48BA,2026-08-03 10:46:03,2026-08-03 10:46:03,2026-08-03 11:06:11,JNY_598436281,USR_23101,STN_DEL_01,Delhi,MALL,34.2,80.0,74.1,CCS2,120.0,True,33.94,32.81,18.85,20.14,1.068,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_967BD4E6E2,2026-08-03 11:02:19,2026-08-03 11:02:19,2026-08-03 11:22:36,JNY_131287169,USR_80710,STN_DEL_02,Delhi,OFFICE,32.5,80.0,68.1,CCS2,120.0,True,32.35,30.43,17.97,20.3,1.13,0.5,0.0,NORMAL,False,False,MORNING,False
CHG_056D53B53A,2026-08-03 11:12:39,2026-08-03 11:12:39,2026-08-03 11:54:09,JNY_900260750,USR_93406,STN_DEL_01,Delhi,MALL,20.2,80.0,69.7,CCS2,150.0,True,41.68,39.63,18.52,41.51,2.241,0.2,2.0,CHARGER_FAULT,True,True,MORNING,False
CHG_34BD788C51,2026-08-03 11:12:51,2026-08-03 11:12:51,2026-08-03 12:05:09,JNY_870520911,USR_43187,STN_DEL_03,Delhi,HIGHWAY,20.7,90.0,86.9,CCS2,90.0,True,60.22,59.92,49.07,52.32,1.066,0.4,2.0,NORMAL,False,False,MORNING,False
CHG_DA1301DD04,2026-08-03 11:14:53,2026-08-03 11:14:53,2026-08-03 11:36:37,JNY_739384967,USR_49708,STN_JPR_01,Jaipur,MALL,19.6,85.0,73.7,CCS2,150.0,True,48.2,46.65,22.49,21.74,0.966,0.6,2.0,NORMAL,False,False,MORNING,False
CHG_B2FF470B8D,2026-08-03 11:16:40,2026-08-03 11:16:40,2026-08-03 11:53:52,JNY_271278905,USR_43744,STN_DEL_03,Delhi,HIGHWAY,40.0,95.0,73.9,CCS2,90.0,True,40.65,37.96,34.62,37.21,1.075,0.4,0.0,NORMAL,False,False,MORNING,False
CHG_4199B4D480,2026-08-03 11:17:58,2026-08-03 11:17:58,2026-08-03 11:55:03,JNY_974903912,USR_41585,STN_DEL_03,Delhi,HIGHWAY,31.3,85.0,66.8,CCS2,90.0,True,35.87,34.61,27.9,37.09,1.329,0.2,3.0,MINOR_SLOWDOWN,True,False,MORNING,False
CHG_5185C62C73,2026-08-03 11:18:00,2026-08-03 11:18:00,2026-08-03 11:43:41,JNY_326828117,USR_60238,STN_DEL_01,Delhi,MALL,13.7,80.0,85.7,CCS2,150.0,True,56.82,54.25,25.25,25.69,1.017,0.6,0.0,NORMAL,False,False,MORNING,False
CHG_8CF6F17A6A,2026-08-03 11:19:06,2026-08-03 11:19:06,2026-08-03 11:45:42,JNY_148258380,USR_24349,STN_MUM_02,Mumbai,RESIDENTIAL,33.4,80.0,62.6,CHAdeMO,75.0,True,29.17,28.12,25.93,26.61,1.026,1.0,0.0,NORMAL,False,False,MORNING,False
CHG_9147FB2D61,2026-08-03 11:19:54,2026-08-03 11:19:54,2026-08-03 11:37:24,JNY_781149256,USR_43015,STN_MUM_02,Mumbai,RESIDENTIAL,24.1,80.0,69.0,CCS2,150.0,True,38.57,37.25,17.14,17.5,1.021,0.75,0.0,NORMAL,False,False,MORNING,False
